Reporting Economy,Albania,Argentina,Association of Southeast Asian Nations (ASEAN),Australia,Austria,"Bahrain, Kingdom of",Belarus,Belgium,Bermuda,Brazil,Brunei Darussalam,Bulgaria,Canada,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Dominican Republic,Egypt,El Salvador,Estonia,Euro Area (19),European Union,European Union (28),Extra EU Trade,Extra Euro Area (19) Trade,Finland,France,Germany,Greece,Guatemala,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Jordan,"Korea, Republic of",Latvia,Liechtenstein,Lithuania,Luxembourg,Malaysia,Malta,Mexico,Montenegro,Morocco,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,"Saudi Arabia, Kingdom of",Serbia,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Thailand,Turkey,Ukraine,United Kingdom,United States of America,Uruguay,"Venezuela, Bolivarian Republic of",Viet Nam
Latvia,,,,,50.587058,,,110.46029399999999,,,,15.758566,28.061525,,93.31734399999999,,,,9.271658,175.957469,35.151352,143.934097,,,,398.42191299999996,2808.225214,,4223.172640999999,,3499.560918,174.05213999999998,244.17537599999997,475.886285,22.656746,,,20.084139,23.11525,,27.717126,,,198.50738,,137.12291100000002,18.904269,,,,,539.934135,51.48033,,24.353271,,,,162.304035,,,,,,,,,,122.174401,8.793605,13.220010999999998,589.8555709999999,,,,17.947139,11.133958999999999,,62.226673999999996,670.4145639999999,312.954366,,,,393.540576,244.15596499999998,,,
Lithuania,,,,,445.803529,,,398.212822,,2.3438209999999997,,41.867265,11.417757,,46.156445,,,,11.71528,69.467669,63.20309,670.184628,,,,332.12694,6916.447638,8295.277916,9262.273928,4437.0598469999995,6290.329055,250.620439,1094.441925,1779.088509,104.752308,,,12.122811,76.036001,,6.037493,,,274.659308,,421.191021,4.368568,,,533.469201,,,103.14496199999999,,100.99692399999999,,,,717.019681,,,,,,,,,,755.651814,20.904997,39.994426000000004,1171.74435,,,,30.687803000000002,13.535045000000002,,326.397215,524.301233,387.393128,,,,602.240569,287.973678,,,
Luxembourg,,,,,,,,,,293.278634,,73.371588,633.13693,,992.195957,,,,51.501158000000004,,378.730414,565.357299,,,,,59244.44126,,84480.95594,,53939.19474,,,,,,,1339.4261789999998,232.69793399999998,,113.698502,,,,,,1156.899653,,,,,,,,,,,,,,,,,,,,,,561.20163,,211.493688,213.262309,,,,,,,,2028.1006260000001,6942.670459999999,,,,20234.0815,14028.30989,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,6896.108264,,12128.55417,,10171.314390000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,2237.9640449999997,,,16544.15943,,2440.998481,,479.91299100000003,4315.674332,,2944.921095,,,,504.233288,579.3847559999999,2243.937527,7104.892339,,,,131.698961,107056.2009,,165500.4457,,141535.9422,2924.807895,15373.647369999999,38166.5112,1190.8848130000001,,,1451.654493,4097.572781,,3186.193831,,,10498.45041,,8225.02941,3370.2537020000004,,,171.306403,,629.399335,8033.508722,,1096.862068,,,,,,,,,,,,,,4739.878016,1369.191397,2162.3252620000003,2807.277795,,,,1072.272322,177.100671,,7332.353762999999,5007.209554,21491.6124,,,,37551.395,45431.72722,,,
Poland,,,,,1364.337723,,,1680.6505339999999,,56.97699,,280.627771,621.545168,,672.296269,,,,475.39570999999995,501.596874,2117.4644329999996,1707.493543,,,,193.59255,37025.11318,,50216.72294,,34990.99018,1067.970123,2796.471138,16625.95896,494.79043600000006,,,317.54353399999997,743.474409,,147.02473700000002,,,1947.795309,,1724.872314,236.446565,,,263.071111,,785.53567,1011.2622289999999,,138.48306499999998,,,,5111.848228,,,,,,,,,,,207.06461399999998,387.521778,1026.556318,,,,986.013488,110.060569,,1018.9615359999999,2477.801675,5557.829607,,,,5562.494048,4922.730609,,,
Portugal,,,,,,,,993.882134,,1663.270628,,,,,,,,,,,,,,,,,20203.46147,,28019.84613,,18912.17544,,5472.199019,3818.386539,,,,,,,,,,1283.850411,,1030.920785,,,,,,,559.8599889999999,,,,,,1529.57191,,,,,,,,,,,,,,,,,,,,4560.785033,,1481.751875,,,,6397.641036,2969.557871,,,
Romania,,,,,1739.0205429999999,,,1366.383208,,12.466204,,458.969414,227.08743900000002,,144.071721,,,,95.962845,145.39005600000002,285.06496200000004,386.833448,,,,26.686740999999998,19216.25027,,24893.04297,,11050.00725,161.872108,2548.474795,5337.061307,381.633414,,,41.043420000000005,694.143427,,72.690554,,,748.389442,,2979.148434,43.616752000000005,,,11.692817999999999,,53.001932999999994,403.89218999999997,,168.763364,,,,2032.06673,,,,,,,,,,429.817995,112.014955,,62.426425,,,,161.80823,99.291701,,1189.746988,466.95446,1158.361011,,,,3007.196689,1781.9162379999998,,,
Serbia,,,,,312.183611,,,212.52553500000002,,,,144.399272,175.754417,,90.037142,,,,277.709192,90.02682,108.833647,62.487924,,,,13.439046,2995.585403,,4615.128165,,4824.465599,21.206415,209.026149,833.42587,558.645617,,,62.045568,213.88884900000002,,13.385956,,,166.58743700000002,,241.113938,41.837094,,,5.989446,,13.439046,85.969752,,36.92776,,,,252.829153,,,,,,,,,,106.353173,11.173782000000001,128.919226,312.098496,,,,78.492099,370.549119,,80.520923,90.761115,488.656466,,,,677.846207,667.747557,,,
Slovak Republic,,,,,,,,,,17.162553,,97.961896,29.702834000000003,,97.800073,,,,258.71817200000004,,1952.444129,91.183916,,,,,5083.474525,,9588.077290000001,,6927.195161,,,,,,,6.401167,692.042487,,11.46203,,,,,,94.43294200000001,,,,,,,,,,,,,,,,,,,,,,876.098082,,110.216898,637.777384,,,,,,,,108.501979,432.00002,,,,833.315985,488.85571600000003,,,
Slovenia,,,,,1377.367478,,,264.76158,,5.965127,,71.514698,23.807659,,63.321493999999994,,,,1015.4763619999999,45.162603999999995,216.785323,79.437717,,,,11.907953,5801.929451,,7668.855923,,3738.3730920000003,29.659026,366.633197,1436.953528,42.904711,,,25.283514999999998,277.059515,,13.918389999999999,,,166.19563300000002,,1173.253402,20.775737,,,12.2753,,22.69066,304.223028,,22.372204,,,,354.015027,,,,,,,,,,127.57690600000001,14.750926999999999,81.994675,122.88588600000001,,,,153.748688,,,81.947498,111.64581399999999,493.992534,,,,246.32177400000003,216.101453,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,67571.40177000001,,102286.4785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,1389.743462,,,1369.577329,,617.416606,,103.578276,739.1696049999999,,1753.3954820000001,,,,215.831702,193.762246,385.551324,5593.730618,,,,551.108491,31396.44762,,49658.97174,,52057.52405,5453.382911,2751.7819059999997,6875.163699,425.99973600000004,,,905.1187259999999,436.025503,,1231.435853,,,2995.2773230000003,,1239.3807960000001,846.054196,,,395.941834,,439.315353,1218.638639,,325.981689,,,,3812.955495,,,,,,,,,,1947.4000350000001,195.180826,266.8873,788.933047,,,,155.28903200000002,60.744324,,1952.2206019999999,,4159.580802,,,,9318.999501,8553.494791,,,
United Kingdom,15.316963000000001,611.4021190000001,,8850.651962,2140.545622,,19.146204,7057.290842,,2037.1561190000002,,1137.284525,7334.272595,436.533454,7048.355947,1732.0932670000002,288.469476,,883.278217,1485.7454400000001,1263.649473,5616.219878,,1054.317641,,52.332958000000005,,,165651.6817,,,2404.763239,23201.37016,27713.49227,4110.051820000001,,,5322.644748,1050.4884,442.91552199999995,9764.564106,899.871594,252.72989500000003,21192.295140000002,1766.556434,14419.644540000001,10164.08157,,3077.43321,260.388376,104.66591600000001,439.086281,6175.289038,1342.787116,819.457537,1438.518137,68.926335,816.904709,23251.15029,1010.9195779999999,,,4609.129540999999,,852.6442910000001,,,917.7413849999999,3955.6057729999998,3765.4201450000005,1706.564995,3890.508679,6509.709404,171.039424,5902.136526,980.285651,153.169633,3470.5686020000003,21636.487080000003,7609.9779340000005,16543.59678,1234.29196,2451.990542,216.990313,,102314.76199999999,16.593377,108.495157,
United States of America,,7591.0,,22030.0,1789.0,795.0,,5600.0,28372.0,24562.0,68.0,354.0,67748.0,5614.0,56537.0,11037.0,7243.0,3087.0,369.0,681.0,1648.0,8171.0,5475.0,,1501.0,156.0,178704.0,,279002.0,,,1984.0,22406.0,36637.0,4067.0,1638.0,1294.0,14234.0,1363.0,,29738.0,2801.0,,57544.0,7375.0,12116.0,50052.0,757.0,23973.0,206.0,,240.0,7541.0,3070.0,1408.0,32928.0,,768.0,20492.0,3232.0,465.0,2125.0,2959.0,571.0,,2703.0,4037.0,5734.0,2557.0,1721.0,812.0,5136.0,9366.0,,23690.0,373.0,175.0,2639.0,8679.0,6668.0,46838.0,3398.0,4175.0,,78329.0,,,2341.0,2495.0
Viet Nam,,,2100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
